OrphaCode,Name,DisorderType,DisorderGroup,ICD-11,MONDO,ICD-10,OMIM,UMLS,MeSH,MedDRA,GARD,DiseaseName,AgeOfOnset,TypeOfInheritance
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,LD24.61,0011778,Q77.3,607131,C4304500,,,,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,LD24.61,0012254,Q77.3,609325,C5924992,C563735,,,Multiple epiphyseal dysplasia-miniepiphyses syndrome,"Childhood, Infancy",
58,Alexander disease,Disease,Disorder,8A44.2,0008752,G93.8,203450,C0270726,D038261,10083059,5774,Alexander disease,All ages,Autosomal dominant
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,LD24.61,0012253,Q77.3,609324,C5924993,C563736,,,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Childhood,
61,Alpha-mannosidosis,Disease,Disorder,5C56.21,0009561,E77.1,248500,C0024748,D008363,10083855,6968,Alpha-mannosidosis,"Childhood, Infancy, Neonatal",Autosomal recessive
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,LD24.7,0009594,Q78.5,250230,C1855217,C565400,,,"Metaphyseal chondrodysplasia, Kaitila type",Neonatal,
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,,0009598,Q87.8,250410,C5190709,,,,Brachydactyly-short stature-retinitis pigmentosa syndrome,"Childhood, Infancy",Autosomal recessive
93,Aspartylglucosaminuria,Disease,Disorder,5C56.21,0008830,E77.1,208400,C0268225,D054880,10068220,5854,Aspartylglucosaminuria,Childhood,Autosomal recessive
585,Multiple sulfatase deficiency,Disease,Disorder,5C56.0Y,0010088,E75.2,272200,C0268263,D052517,,5061,Multiple sulfatase deficiency,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
118,Beta-mannosidosis,Disease,Disorder,5C56.21,0009562,E77.1,248510,C4048196,D044905,,869,Beta-mannosidosis,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
166068,Pontocerebellar hypoplasia type 5,Malformation syndrome,Disorder,,,,610204,C1857762,,,10709,,,
141,Canavan disease,Disease,Disorder,5C50.E1,0010079,E75.2,271900,C0206307,D017825,10067608,5984,Canavan disease,"Childhood, Infancy, Neonatal",Autosomal recessive
